
108	232	0.644444444			202	0.561111111			0.083333333	0.057868518
109	201	0.558333333			188	0.522222222			0.036111111	0.054786341
110	198	0.55			192	0.533333333			0.016666667	0.054856716
111	227	0.630555556			174	0.483333333			0.147222222	0.055624957
112	198	0.55			188	0.522222222			0.027777778	0.054574674
113	202	0.561111111			164	0.455555556			0.105555556	0.053142018
114	236	0.655555556			169	0.469444444			0.186111111	0.055901699
115	199	0.552777778			140	0.388888889			0.163888889	0.051144313
116	199	0.552777778			134	0.372222222			0.180555556	0.050689688
117	195	0.541666667			167	0.463888889			0.077777778	0.052850827
118	210	0.583333333			160	0.444444444			0.138888889	0.053431622
119	196	0.544444444			157	0.436111111			0.108333333	0.052189706
120	214	0.594444444			154	0.427777778			0.166666667	0.053287017
121	226	0.627777778			151	0.419444444			0.208333333	0.053934688
122	196	0.544444444			143	0.397222222			0.147222222	0.051144313
123	178	0.494444444			124	0.344444444			0.15	0.048272631
124	173	0.480555556			151	0.419444444			0.061111111	0.05
125	191	0.530555556			152	0.422222222			0.108333333	0.051445164
126	189	0.525			126	0.35			0.175	0.049300665
127	184	0.511111111			125	0.347222222			0.163888889	0.048828877
128	200	0.555555556			133	0.369444444			0.186111111	0.050689688
129	186	0.516666667			117	0.325			0.191666667	0.048352487
130	181	0.502777778			117	0.325			0.177777778	0.047951879
131	184	0.511111111			128	0.355555556			0.155555556	0.049065338
132	195	0.541666667			125	0.347222222			0.194444444	0.049690399
133	193	0.536111111			113	0.313888889			0.222222222	0.048591266
134	179	0.497222222			109	0.302777778			0.194444444	0.047140452
135	194	0.538888889			128	0.355555556			0.183333333	0.04984544
136	208	0.577777778			124	0.344444444			0.233333333	0.05061352
137	161	0.447222222			101	0.280555556			0.166666667	0.044962261
138	163	0.452777778			104	0.288888889			0.163888889	0.045389263
139	157	0.436111111			117	0.325			0.111111111	0.045980404
140	158	0.438888889			107	0.297222222			0.141666667	0.045218946
141	162	0.45			105	0.291666667			0.158333333	0.045389263
142	171	0.475			99	0.275			0.2	0.045643546
143	170	0.472222222			88	0.244444444			0.227777778	0.044617718
144	172	0.477777778			84	0.233333333			0.244444444	0.044444444
145	183	0.508333333			84	0.233333333			0.275	0.045389263
146	198	0.55			94	0.261111111			0.288888889	0.047466687
147	176	0.488888889			90	0.25			0.238888889	0.045304185
148	175	0.486111111			103	0.286111111			0.2	0.046314811
149	170	0.472222222			100	0.277777778			0.194444444	0.045643546
150	187	0.519444444			94	0.261111111			0.258333333	0.046564041
151	164	0.455555556			84	0.233333333			0.222222222	0.043744488
152	176	0.488888889			81	0.225			0.263888889	0.044531165
153	166	0.461111111			87	0.241666667			0.219444444	0.04418326
154	171	0.475			81	0.225			0.25	0.044095855
155	180	0.5			103	0.286111111			0.213888889	0.046729455
156	181	0.502777778			81	0.225			0.277777778	0.044962261
157	147	0.408333333			66	0.183333333			0.225	0.040540332
158	156	0.433333333			82	0.227777778			0.205555556	0.042853468
159	163	0.452777778			76	0.211111111			0.241666667	0.042943402
160	177	0.491666667			70	0.194444444			0.297222222	0.043656205
161	155	0.430555556			71	0.197222222			0.233333333	0.041759157
162	165	0.458333333			66	0.183333333			0.275	0.042218567
163	168	0.466666667			76	0.211111111			0.255555556	0.043390276
164	168	0.466666667			64	0.177777778			0.288888889	0.042309851
165	140	0.388888889			52	0.144444444			0.244444444	0.038490018
